ID,Age,Income,Spending Score,Education Level,Employment Status,Purchase Amount,Study Hours,Pass/Fail Outcome,Preferred Store Type,Annual Purchases
1,54,89741,74,Master's,0,331.58,6.7,0,Electronics,41
2,60,72651,71,High School,0,231.26,5.5,0,Electronics,46
3,38,90985,85,Master's,1,385.92,9.6,1,Electronics,49
4,48,68342,50,High School,1,236.78,2.5,1,Clothing,36
5,55,139505,83,High School,0,196.86,0.8,1,Clothing,22
6,22,104788,37,High School,1,251.32,3.9,0,Grocery,23
7,54,27263,84,Master's,1,163.28,3.4,1,Electronics,20
8,59,64668,17,High School,0,87.26,9.8,0,Electronics,2
9,58,105434,50,High School,1,149.84,5.4,1,Electronics,19
10,32,31872,81,High School,1,135.79,4.6,0,Grocery,19
11,26,91854,12,Bachelor's,1,126.64,1.9,1,Clothing,45
12,23,40366,94,Bachelor's,1,356.4,2.7,1,Clothing,16
13,35,125876,26,Bachelor's,1,454.43,1.1,1,Clothing,11
14,49,100387,29,Master's,1,376.72,5.6,0,Grocery,7
15,42,51827,70,High School,0,283.12,2.8,1,Grocery,33
16,62,149085,30,Master's,1,240.98,3.7,0,Grocery,21
17,42,36363,40,High School,0,59.4,2.7,0,Clothing,28
18,39,111926,56,Master's,1,121.35,9.8,1,Electronics,36
19,49,93855,10,Master's,0,239.25,7.1,1,Electronics,45
20,54,53186,88,High School,0,128.27,7.4,0,Grocery,26
21,40,96353,76,High School,1,112.73,7.2,0,Grocery,21
22,30,89006,63,Master's,0,396.49,3.6,0,Clothing,15
23,47,133134,65,Bachelor's,0,429.2,0.4,0,Clothing,2
24,26,141072,81,High School,1,392.78,5.9,0,Electronics,23
25,35,113992,53,Master's,0,465.28,2.1,1,Clothing,24
26,50,74530,38,Bachelor's,0,164.94,5.3,0,Clothing,49
27,36,122350,30,Master's,0,156.79,2.2,0,Grocery,4
28,25,83382,64,Bachelor's,0,412.98,4.9,1,Clothing,22
29,51,30133,81,High School,1,243.77,2.3,0,Grocery,42
30,62,47629,51,Master's,0,361.61,2.1,0,Clothing,45
31,26,22604,48,Bachelor's,1,190.61,8.1,0,Clothing,47
32,51,100571,63,High School,0,237.65,6.7,1,Electronics,7
